b results.data 5 1 1
i 1200 151000 0 150600 400 0
r color6 glucose 0.547 1.153
r color6 lingeling 0.547 0.054
r color6 minisat 0.547 0.425
r color6 cadical 0.547 0.055
d NULL random 3COL_TO_SAT UNSAT rand-400-07.graph rand-400-07.cnf
i 400 55860 0 0 0 0
i 1200 169180 0 168780 400 0
r color6 glucose 0.652 1.393
r color6 lingeling 0.652 0.061
r color6 minisat 0.652 0.927
r color6 cadical 0.652 0.062
d NULL random 3COL_TO_SAT UNSAT rand-400-08.graph rand-400-08.cnf
i 400 63840 0 0 0 0
i 1200 193120 0 192720 400 0
r color6 glucose 0.809 1.628
r color6 lingeling 0.809 0.067
r color6 minisat 0.809 1.132
r color6 cadical 0.809 0.069
d NULL random 3COL_TO_SAT UNSAT rand-400-09.graph rand-400-09.cnf
i 400 71820 0 0 0 0
i 1200 21706 0 216660 400 0
r color6 glucose 0.989 1.946
r color6 lingeling 0.989 0.073
r color6 minisat 0.989 1.310
r color6 cadical 0.989 0.076
d NULL random 3COL_TO_SAT UNSAT rand-500-01.graph rand-500-01.cnf
i 500 12475 0 0 0 0
i 1500 39425 0 38925 500 0
r color6 glucose 0.068 0.114
r color6 lingeling 0.068 0.015
r color6 minisat 0.068 0.088
r color6 cadical 0.068 0.017
d NULL random 3COL_TO_SAT UNSAT rand-500-02.graph rand-500-02.cnf
i 500 24950 0 0 0 0
i 1500 76850 0 76350 500 0
r color6 glucose 0.168 0.314
r color6 lingeling 0.168 0.030
r color6 minisat 0.168 0.230
r color6 cadical 0.168 0.030
d NULL random 3COL_TO_SAT UNSAT rand-500-03.graph rand-500-03.cnf
i 500 37425 0 0 0 0
i 1500 114275 0 113775 500 0
r color6 glucose 0.354 0.657
r color6 lingeling 0.354 0.042
r color6 minisat 0.354 0.492
r color6 cadical 0.354 0.045
d NULL random 3COL_TO_SAT UNSAT rand-500-04.graph rand-500-04.cnf
i 500 49900 0 0 0 0
i 1500 151700 0 151200 500 0
r color6 glucose 0.603 1.171
r color6 lingeling 0.603 0.055
r color6 minisat 0.603 0.755
r color6 cadical 0.603 0.056
d NULL random 3COL_TO_SAT UNSAT rand-500-05.graph rand-500-05.cnf
i 500 63375 0 0 0 0
i 1500 192125 0 191625 500 0
r color6 glucose 0.951 1.851
r color6 lingeling 0.951 0.070
r color6 minisat 0.951 1.204
r color6 cadical 0.951 0.070
d NULL random 3COL_TO_SAT UNSAT rand-500-06.graph rand-500-06.cnf
i 500 74850 0 0 0 0
i 1500 226550 0 226050 500 0
r color6 glucose 1.256 2.384
r color6 lingeling 1.256 0.082
r color6 minisat 1.256 1.606
r color6 cadical 1.256 0.084
d NULL random 3COL_TO_SAT UNSAT rand-500-07.graph rand-500-07.cnf
i 500 87325 0 0 0 0
i 1500 263975 0 263475 500 0
r color6 glucose 1.627 2.951
r color6 lingeling 1.627 0.092
r color6 minisat 1.627 2.032
r color6 cadical 1.627 0.103
d NULL random 3COL_TO_SAT UNSAT rand-500-08.graph rand-500-08.cnf
i 500 99800 0 0 0 0
i 1500 301400 0 300900 500 0
r color6 glucose 2.066 3.536
r color6 lingeling 2.066 0.102
r color6 minisat 2.066 2.658
r color6 cadical 2.066 0.103
d NULL random 3COL_TO_SAT UNSAT rand-500-09.graph rand-500-09.cnf
i 500 112275 0 0 0 0
i 1500 338825 0 338325 500 0
r color6 glucose 2.488 4.255
r color6 lingeling 2.488 0.113
r color6 minisat 2.488 2.842
r color6 cadical 2.488 0.121
d NULL random 3COL_TO_SAT UNSAT rand-750-001.graph rand-750-001.cnf
i 750 2008 0 0 0 0
i 1500 338825 0 338325 500 0
r color6 glucose 0.020 15.186
r color6 lingeling 0.020 49.185
r color6 minisat 0.020 11.516
r color6 cadical 0.020 25.772
d NULL random 3COL_TO_SAT UNSAT rand-750-005.graph rand-750-005.cnf
i 750 10043 0 0 0 0
i 2250 33129 0 32379 750 0
r color6 glucose 0.036 0.073
r color6 lingeling 0.036 0.013
r color6 minisat 0.036 0.061
r color6 cadical 0.036 0.015
d NULL random 3COL_TO_SAT UNSAT rand-750-01.graph rand-750-01.cnf
i 750 20087 0 0 0 0
i 2250 63261 0 62511 750 0
r color6 glucose 0.123 0.191
r color6 lingeling 0.123 0.029
r color6 minisat 0.123 0.149
r color6 cadical 0.123 0.029
d NULL random 3COL_TO_SAT UNSAT rand-750-02.graph rand-750-02.cnf
i 750 40175 0 0 0 0
i 2250 123525 0 122775 750 0
r color6 glucose 0.446 0.667
r color6 lingeling 0.446 0.049
r color6 minisat 0.446 0.433
r color6 cadical 0.446 0.050
d NULL random 3COL_TO_SAT UNSAT rand-750-03.graph rand-750-03.cnf
i 750 60262 0 0 0 0
i 2250 183786 0 183036 750 0
r color6 glucose 1.021 1.504
r color6 lingeling 1.021 0.071
r color6 minisat 1.021 1.037
r color6 cadical 1.021 0.072
d NULL random 3COL_TO_SAT UNSAT rand-750-04.graph rand-750-04.cnf
i 750 80350 0 0 0 0
i 2250 244050 0 243300 750 0
r color6 glucose 1.754 2.980
r color6 lingeling 1.754 0.111
r color6 minisat 1.754 2.291
r color6 cadical 1.754 0.134
d NULL random 3COL_TO_SAT UNSAT rand-750-05.graph rand-750-05.cnf
i 750 100437 0 0 0 0
i 2250 304311 0 303561 750 0
r color6 glucose 2.662 4.863
r color6 lingeling 2.662 0.142
r color6 minisat 2.662 3.273
r color6 cadical 2.662 0.120
d NULL random 3COL_TO_SAT UNSAT rand-750-06.graph rand-750-06.cnf
i 750 120525 0 0 0 0
i 2250 364575 0 363825 750 0
r color6 glucose 3.631 4.897
r color6 lingeling 3.631 0.132
r color6 minisat 3.631 3.744
r color6 cadical 3.631 0.131
d NULL random 3COL_TO_SAT UNSAT rand-750-07.graph rand-750-07.cnf
i 750 140612 0 0 0 0
i 2250 424836 0 424086 750 0
r color6 glucose 4.773 6.453
r color6 lingeling 4.773 0.148
r color6 minisat 4.773 4.713
r color6 cadical 4.773 0.148
d NULL random 3COL_TO_SAT UNSAT rand-750-08.graph rand-750-08.cnf
i 750 160700 0 0 0 0
i 2250 485100 0 484350 750 0
r color6 glucose 5.996 8.409
r color6 lingeling 5.996 0.169
r color6 minisat 5.996 6.102
r color6 cadical 5.996 0.164
d NULL random 3COL_TO_SAT UNSAT rand-750-09.graph rand-750-09.cnf
i 750 180787 0 0 0 0
i 2250 545361 0 544611 750 0
r color6 glucose 7.292 10.853
r color6 lingeling 7.292 0.187
r color6 minisat 7.292 7.480
r color6 cadical 7.292 0.190
d NULL random 3COL_TO_SAT UNSAT rand-1000-001.graph rand-1000-001.cnf
i 999 4995 0 0 0 0
i 2997 18981 0 17982 999 0
r color6 glucose 0.016 0.050
r color6 lingeling 0.016 0.025
r color6 minisat 0.016 0.038
r color6 cadical 0.016 0.012
d NULL random 3COL_TO_SAT UNSAT rand-1000-005.graph rand-1000-005.cnf
i 999 24975 0 0 0 0
i 2997 78921 0 77922 999 0
r color6 glucose 0.730 0.246
r color6 lingeling 0.730 0.034
r color6 minisat 0.730 0.182
r color6 cadical 0.730 0.034
d NULL random 3COL_TO_SAT UNSAT rand-1000-01.graph rand-1000-01.cnf
i 999 49950 0 0 0 0
i 2997 153846 0 152847 999 0
r color6 glucose 1.094 0.838
r color6 lingeling 1.094 0.059
r color6 minisat 1.094 0.615
r color6 cadical 1.094 0.056
d NULL random 3COL_TO_SAT UNSAT rand-1000-02.graph rand-1000-02.cnf
i 999 99900 0 0 0 0
i 2997 303696 0 302697 999 0
r color6 glucose 4.783 3.175
r color6 lingeling 4.783 0.109
r color6 minisat 4.783 2.477
r color6 cadical 4.783 0.111
d NULL random 3COL_TO_SAT UNSAT rand-1000-03.graph rand-1000-03.cnf
i 999 149850 0 0 0 0
i 2997 453546 0 452547 999 0
r color6 glucose 9.674 6.270
r color6 lingeling 9.674 0.165
r color6 minisat 9.674 5.236
r color6 cadical 9.674 0.168
d NULL random 3COL_TO_SAT UNSAT rand-1000-04.graph rand-1000-04.cnf
i 999 199800 0 0 0 0
i 2997 603396 0 602397 999 0
r color6 glucose 17.136 10.078
r color6 lingeling 17.136 0.212
r color6 minisat 17.136 7.926
r color6 cadical 17.136 0.211
d NULL random 3COL_TO_SAT UNSAT rand-1000-05.graph rand-1000-05.cnf
i 999 249750 0 0 0 0
i 2997 753246 0 752247 999 0
r color6 glucose 31.245 18.009
r color6 lingeling 31.245 0.296
r color6 minisat 31.245 13.676
r color6 cadical 31.245 0.290
d NULL random 3COL_TO_SAT UNSAT rand-1000-06.graph rand-1000-06.cnf
i 999 299700 0 0 0 0
i 2997 903096 0 902097 999 0
r color6 glucose 51.968 22.819
r color6 lingeling 51.968 0.362
r color6 minisat 51.968 17.869
r color6 cadical 51.968 0.361
d NULL random 3COL_TO_SAT UNSAT rand-1000-07.graph rand-1000-07.cnf
i 999 349650 0 0 0 0
i 2997 1052946 0 1051947 999 0
r color6 glucose 67.361 32.171
r color6 lingeling 67.361 0.750
r color6 minisat 67.361 20.879
r color6 cadical 67.361 0.547
d NULL random 3COL_TO_SAT UNSAT rand-1000-08.graph rand-1000-08.cnf
i 999 399600 0 0 0 0
i 2997 1202796 0 1201797 999 0
r color6 glucose 96.170 42.148
r color6 lingeling 96.170 0.552
r color6 minisat 96.170 36.478
r color6 cadical 96.170 0.551
d NULL random 3COL_TO_SAT UNSAT rand-1000-09.graph rand-1000-09.cnf
i 999 449550 0 0 0 0
i 2997 1352646 0 1351647 999 0
r color6 glucose 120.630 55.641
r color6 lingeling 120.630 0.633
r color6 minisat 120.630 42.904
r color6 cadical 120.630 0.981
d NULL random 3COL_TO_CSP UNSAT comp10.graph comp10.xml
i 10 45 0 0 0 0
i 10 45 1 1 0 0
r color6 btd 0.001 0.070
d NULL random 3COL_TO_CSP UNSAT comp25.graph comp25.xml
i 25 300 0 0 0 0
i 25 300 1 1 0 0
r color6 btd 0.001 0.023
d NULL random 3COL_TO_CSP UNSAT comp50.graph comp50.xml
i 50 1225 0 0 0 0
i 50 1225 1 1 0 0
r color6 btd 0.002 0.062
d NULL random 3COL_TO_CSP UNSAT comp100.graph comp100.xml
i 100 4950 0 0 0 0
i 100 4950 1 1 0 0
r color6 btd 0.015 0.310
d NULL random 3COL_TO_CSP UNSAT comp150.graph comp150.xml
i 150 11175 0 0 0 0
i 150 11175 1 1 0 0
r color6 btd 0.060 1.569
d NULL random 3COL_TO_CSP UNSAT comp200.graph comp200.xml
i 200 19900 0 0 0 0
i 200 19900 1 1 0 0
r color6 btd 0.117 6.105
d NULL random 3COL_TO_CSP UNSAT comp250.graph comp250.xml
i 250 31125 0 0 0 0
i 250 31125 1 1 0 0
r color6 btd 0.282 16.926
d NULL random 3COL_TO_CSP UNSAT comp300.graph comp300.xml
i 300 44850 0 0 0 0
i 300 44850 1 1 0 0
r color6 btd 0.621 40.888
d NULL random 3COL_TO_CSP UNSAT comp350.graph comp350.xml
i 350 61075 0 0 0 0
i 350 61075 1 1 0 0
r color6 btd 0.621 72.650
d NULL random 3COL_TO_CSP UNSAT comp400.graph comp400.xml
i 400 79800 0 0 0 0
i 400 79800 1 1 0 0
r color6 btd 2.028 132.976
d NULL random 3COL_TO_CSP UNSAT comp450.graph comp450.xml
i 450 101025 0 0 0 0
i 450 101025 1 1 0 0
r color6 btd 3.281 226.952
d NULL random 3COL_TO_CSP UNSAT comp500.graph comp500.xml
i 500 124750 0 0 0 0
i 500 124750 1 1 0 0
r color6 btd 5.024 300.17
d NULL random 3COL_TO_CSP UNSAT comp1000.graph comp1000.xml
i 1000 449500 0 0 0 0
i 1000 449500 1 1 0 0
r color6 btd 52.836 900.0
d NULL random 3COL_TO_CSP UNSAT rand-300-01.graph rand-300-01.xml
i 300 4485 0 0 0 0
i 300 4485 1 1 0 0
r color6 btd 0.046 0.360
d NULL random 3COL_TO_CSP UNSAT rand-300-02.graph rand-300-02.xml
i 300 8970 0 0 0 0
i 300 8970 1 1 0 0
r color6 btd 0.031 0.859
d NULL random 3COL_TO_CSP UNSAT rand-300-03.graph rand-300-03.xml
i 300 13455 0 0 0 0
i 300 13455 1 1 0 0
r color6 btd 0.050 1.898
d NULL random 3COL_TO_CSP UNSAT rand-300-04.graph rand-300-04.xml
i 300 17940 0 0 0 0
i 300 17940 1 1 0 0
r color6 btd 0.080 3.671
d NULL random 3COL_TO_CSP UNSAT rand-300-05.graph rand-300-05.xml
i 300 22425 0 0 0 0
i 300 22425 1 1 0 0
r color6 btd 0.126 5.319
d NULL random 3COL_TO_CSP UNSAT rand-300-06.graph rand-300-06.xml
i 300 26910 0 0 0 0
i 300 26910 1 1 0 0
r color6 btd 0.168 7.867
d NULL random 3COL_TO_CSP UNSAT rand-300-07.graph rand-300-07.xml
i 300 31394 0 0 0 0
i 300 31394 1 1 0 0
r color6 btd 0.222 9.905
d NULL random 3COL_TO_CSP UNSAT rand-300-08.graph rand-300-08.xml
i 300 35880 0 0 0 0
i 300 35880 1 1 0 0
r color6 btd 0.256 13.345
d NULL random 3COL_TO_CSP UNSAT rand-300-09.graph rand-300-09.xml
i 300 40365 0 0 0 0
i 300 40365 1 1 0 0
r color6 btd 0.310 16.534
d NULL random 3COL_TO_CSP UNSAT rand-400-01.graph rand-400-01.graph
i 400 7980 0 0 0 0
i 400 7980 1 1 0 0
r color6 btd 0.043 0.738
d NULL random 3COL_TO_CSP UNSAT rand-400-02.graph rand-400-02.graph
i 400 15960 0 0 0 0
i 400 15960 1 1 0 0
r color6 btd 0.083 3.251
d NULL random 3COL_TO_CSP UNSAT rand-400-03.graph rand-400-03.graph
i 400 23940 0 0 0 0
i 400 23940 1 1 0 0
r color6 btd 0.146 7.638
d NULL random 3COL_TO_CSP UNSAT rand-400-04.graph rand-400-04.graph
i 400 31920 0 0 0 0
i 400 31920 1 1 0 0
r color6 btd 0.244 13.480
d NULL random 3COL_TO_CSP UNSAT rand-400-05.graph rand-400-05.graph
i 400 39900 0 0 0 0
i 400 39900 1 1 0 0
r color6 btd 0.382 21.108
d NULL random 3COL_TO_CSP UNSAT rand-400-06.graph rand-400-06.graph
i 400 49800 0 0 0 0
i 400 49800 1 1 0 0
r color6 btd 0.547 31.170
d NULL random 3COL_TO_CSP UNSAT rand-400-07.graph rand-400-07.graph
i 400 55860 0 0 0 0
i 400 55860 1 1 0 0
r color6 btd 0.652 38.315
d NULL random 3COL_TO_CSP UNSAT rand-400-08.graph rand-400-08.graph
i 400 63840 0 0 0 0
i 400 63840 1 1 0 0
r color6 btd 0.809 47.901
d NULL random 3COL_TO_CSP UNSAT rand-400-09.graph rand-400-09.graph
i 400 71820 0 0 0 0
i 400 71820 1 1 0 0
r color6 btd 0.989 57.648
d NULL random 3COL_TO_CSP UNSAT rand-500-01.graph rand-500-01.cnf
i 500 12475 0 0 0 0
i 500 12475 1 1 0 0
r color6 btd 0.068 1.970
d NULL random 3COL_TO_CSP UNSAT rand-500-02.graph rand-500-02.cnf
i 500 24950 0 0 0 0
i 500 24950 1 1 0 0
r color6 btd 0.168 8.873
d NULL random 3COL_TO_CSP UNSAT rand-500-03.graph rand-500-03.cnf
i 500 37425 0 0 0 0
i 500 37425 1 1 0 0
r color6 btd 0.354 20.919
d NULL random 3COL_TO_CSP UNSAT rand-500-04.graph rand-500-04.cnf
i 500 49900 0 0 0 0
i 500 49900 1 1 0 0
r color6 btd 0.603 35.912
d NULL random 3COL_TO_CSP UNSAT rand-500-05.graph rand-500-05.cnf
i 500 63375 0 0 0 0
i 500 63375 1 1 0 0
r color6 btd 0.951 57.190
d NULL random 3COL_TO_CSP UNSAT rand-500-06.graph rand-500-06.cnf
i 500 74850 0 0 0 0
i 500 74850 1 1 0 0
r color6 btd 1.256 75.745
d NULL random 3COL_TO_CSP UNSAT rand-500-07.graph rand-500-07.cnf
i 500 87325 0 0 0 0
i 500 87325 1 1 0 0
r color6 btd 1.627 98.389
d NULL random 3COL_TO_CSP UNSAT rand-500-08.graph rand-500-08.cnf
i 500 99800 0 0 0 0
i 500 99800 1 1 0 0
r color6 btd 2.066 123.920
d NULL random 3COL_TO_CSP UNSAT rand-500-09.graph rand-500-09.cnf
i 500 112275 0 0 0 0
i 500 112275 1 1 0 0
r color6 btd 2.488 148.507
